file.name,FilePath,ARU_ID,Date,JDate,year,Time,BinStarts,BinStarts_sec_past_midn,sunrise_sec_past_midn,songs_1,songs_2,songs_3,songs_4,songs_5,songs_6,others,listened,standardized_bs,two_min_sc
AB_01_1_2016-06-28_41459_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160628_041459.wav,AB_01_1,2016-06-28,180,2016,4:14:59,0,15299,16198,0,1,1,1,0,0,y,y,Feeding Young,3
AB_01_1_2016-06-28_41459_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160628_041459.wav,AB_01_1,2016-06-28,180,2016,4:14:59,240,15539,16198,0,0,0,0,0,0,n,y,Feeding Young,0
AB_01_1_2016-06-28_41459_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160628_041459.wav,AB_01_1,2016-06-28,180,2016,4:14:59,360,15659,16198,0,0,0,0,0,0,n,y,Feeding Young,0
AB_01_1_2016-06-28_42458_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160628_042458.wav,AB_01_1,2016-06-28,180,2016,4:24:58,0,15898,16198,0,0,0,0,0,0,n,n,Feeding Young,0
AB_01_1_2016-06-28_42458_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160628_042458.wav,AB_01_1,2016-06-28,180,2016,4:24:58,240,16138,16198,0,0,0,0,0,0,n,n,Feeding Young,0
AB_01_1_2016-06-28_42458_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160628_042458.wav,AB_01_1,2016-06-28,180,2016,4:24:58,360,16258,16198,1,0,1,0,0,1,n,y,Feeding Young,3
AB_01_1_2016-06-28_42458_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160628_042458.wav,AB_01_1,2016-06-28,180,2016,4:24:58,480,16378,16198,0,0,0,0,0,0,n,n,Feeding Young,0
AB_01_1_2016-06-28_43457_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160628_043457.wav,AB_01_1,2016-06-28,180,2016,4:34:57,0,16497,16198,0,0,0,0,0,0,n,n,Feeding Young,0
AB_01_1_2016-06-28_43457_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160628_043457.wav,AB_01_1,2016-06-28,180,2016,4:34:57,360,16857,16198,0,0,0,0,0,0,n,n,Feeding Young,0
AB_01_1_2016-06-28_43457_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160628_043457.wav,AB_01_1,2016-06-28,180,2016,4:34:57,480,16977,16198,0,0,1,1,1,0,n,n,Feeding Young,3
AB_01_1_2016-06-29_34600_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160629_034600.wav,AB_01_1,2016-06-29,181,2016,3:46:00,0,13560,16245,6,7,4,5,7,6,y,n,Feeding Young,35
AB_01_1_2016-06-29_34600_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160629_034600.wav,AB_01_1,2016-06-29,181,2016,3:46:00,120,13680,16245,7,6,5,6,5,4,y,n,Feeding Young,33
AB_01_1_2016-06-29_34600_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160629_034600.wav,AB_01_1,2016-06-29,181,2016,3:46:00,360,13920,16245,6,5,6,7,6,5,y,n,Feeding Young,35
